original,corrected,reference,notes
Periclemenes iridescens?,Periclimenes,Simons 1997,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=107035
Periclemenes iridescens,Periclimenes iridescens,Simons 1997,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=421705
Petrolithes armatus,Petrolisthes armatus,Wrast 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=396707
Pteromalitidae (Hymenoptera),Pteromalidae,Akin et al 2006,Found at:  http://eol.org/pages/706/overview
Pharangeal tooth,Teleostei,Wrast 2008,
Thais hemastoma,Thais haemastoma,Torruco and Gonzalez 1994,Found at:  http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=73312
Thalassiotrix sp.,Thalassiothrix,Vega-Cendejas 1998,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=
Other Thrips,Thysanoptera,Akin et al 2006,Found at:  http://eol.org/pages/1095/names
Albugo tragopogonis var. inulae,Albugo tragopogonis var. inulae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Albugo%20tragopogonis%20var.%20inulae&spKey=NHMSYS0001474292
Albugo tragopogonis var. tragopogonis,Albugo tragopogonis var. tragopogonis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Albugo%20tragopogonis%20var.%20tragopogonis&spKey=NHMSYS0001474293
Amanita excelsa var. excelsa,Amanita excelsa var. excelsa,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20excelsa%20var.%20excelsa&spKey=NHMSYS0001474437
Amanita excelsa var. spissa,Amanita excelsa var. spissa,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20excelsa%20var.%20spissa&spKey=NHMSYS0001474438 
Amanita muscaria var. aureola,Amanita muscaria var. aureola,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20muscaria%20var.%20aureola&spKey=NHMSYS0001474457
Amanita muscaria var. formosa,Amanita muscaria var. formosa,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20muscaria%20var.%20formosa&spKey=NHMSYS0001474458
Amanita muscaria var. muscaria,Amanita muscaria var. muscaria,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20muscaria%20var.%20muscaria&spKey=NHMSYS0001474459
Amanita rubescens var. annulosulphurea,Amanita rubescens var. annulosulphurea,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20rubescens%20var.%20annulosulphurea&spKey=NBNSYS0000039157
Amanita rubescens var. rubescens,Amanita rubescens var. rubescens,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Amanita%20rubescens%20var.%20rubescens&spKey=NHMSYS0001474478 
Anthostomella formosa var. taxi,Anthostomella formosa var. taxi,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Anthostomella%20formosa%20var.%20taxi&spKey=NBNSYS0000020225 
Apostemidium fiscellum var. fiscellum,Apostemidium fiscellum var. fiscellum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Apostemidium%20fiscellum%20var.%20fiscellum&spKey=NHMSYS0019999361
Apostemidium fiscellum var. submersum,Apostemidium fiscellum var. submersum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Apostemidium%20fiscellum%20var.%20submersum&spKey=NBNSYS0000017033
Arthrinium curvatum var. minus,Arthrinium curvatum var. minus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Arthrinium%20curvatum%20var.%20minus&spKey=BMSSYS0000014327
Ascochyta avenae var. confusa,Ascochyta avenae var. confusa,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20avenae%20var.%20confusa&spKey=BMSSYS0000001823
Ascochyta hordei var. europaea,Ascochyta hordei var. europaea,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20hordei%20var.%20europaea&spKey=BMSSYS0000001847
Ascochyta leptospora var. acuta,Ascochyta leptospora var. acuta,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20leptospora%20var.%20acuta&spKey=BMSSYS0000001856 
Ascochyta leptospora var. major,Ascochyta leptospora var. major,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20leptospora%20var.%20major&spKey=BMSSYS0000001857
Ascochyta vulgaris var. symphoricarpi,Ascochyta vulgaris var. symphoricarpi,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Ascochyta%20vulgaris%20var.%20symphoricarpi&spKey=BMSSYS0000001904
