PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
1	1	0	1	95	366	71	246	71.1	246.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	367	71	247	71.1	247.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	369	71	250	71.1	250.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	95	370	71	251	71.1	251.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	95	374	71	255	71.1	255.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	384	71	265	71.1	265.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	385	71	266	71.1	266.3	15	trophic transmission	inferred							
1	1	0	1	95	386	71	267	71.1	267.3	15	trophic transmission	inferred							
1	1	0	1	95	387	71	268	71.1	268.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	388	71	269	71.1	269.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	390	71	271	71.1	271.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	391	71	272	71.1	272.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	392	71	273	71.1	273.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	393	71	274	71.1	274.3	15	trophic transmission	inferred							
1	1	0	1	95	394	71	275	71.1	275.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	95	395	71	276	71.1	276.3	16	predation on free-living non-feeding stage	modeled							
1	1	0	1	95	396	71	277	71.1	277.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	95	399	71	279	71.1	279.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	95	400	71	280	71.1	280.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	96	12	72	12	72.1	12.1	1	predation	inferred							
1	0	0	1	96	50	72	25	72.1	25.2	1	predation	inferred							
1	0	0	1	96	68	72	44	72.1	44.2	1	predation	inferred							
1	0	0	1	96	101	72	61	72.1	61.2	1	predation	inferred							
1	0	0	1	96	104	72	64	72.1	64.2	1	predation	inferred							
1	0	0	1	96	105	72	65	72.1	65.2	1	predation	inferred							
1	0	0	1	96	106	72	66	72.1	66.2	1	predation	inferred							
1	0	0	1	96	107	72	67	72.1	67.2	1	predation	inferred							
1	0	0	1	96	108	72	68	72.1	68.2	1	predation	inferred							
1	0	0	1	96	110	72	70	72.1	70.2	1	predation	inferred							
1	0	0	1	96	111	72	71	72.1	71.2	1	predation	inferred							
1	0	0	1	96	112	72	72	72.1	72.2	1	predation	inferred							
1	0	0	1	96	113	72	73	72.1	73.2	1	predation	inferred							
1	0	0	1	96	353	72	233	72.1	233.3	15	trophic transmission	inferred							
1	0	0	1	96	354	72	234	72.1	234.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	96	355	72	235	72.1	235.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	96	357	72	237	72.1	237.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	96	358	72	238	72.1	238.3	15	trophic transmission	inferred							
1	0	0	1	96	359	72	239	72.1	239.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	96	360	72	240	72.1	240.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	96	364	72	244	72.1	244.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	96	365	72	245	72.1	245.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	96	366	72	246	72.1	246.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	96	367	72	247	72.1	247.3	16	predation on free-living non-feeding stage	inferred							
